PlatformID,CountryID,Country,ResortID,ResortCode,Resort,ResortTranslation
5314e446-e811-4498-8c4e-dbcb231b99fc,36,British Columbia,8339,WRBZHU,100 Mile House,100 مايل هاوس 
cc6c2067-086c-4d09-b49f-2f34adf870f9,66,Denmark,2136,AV2A2Y,Aabenraa,أبينرا
#N/A,93,Germany,8141,ZC90IT,Aachen,آخن
1ffbc3f5-5631-4fd7-bd24-0219b2d05794,66,Denmark,2134,U2QDD5,Aalborg,البورغ
9bf856d4-b981-44f2-bfaf-9181c3c1cd16,276,Switzerland,1686,6J44YW,Aarau,آرو
#N/A,276,Switzerland,7461,K1NMC4,Aargau-Basel Region,أرجاو- مدينة بازل
8b41710b-8e29-4335-98dd-429b50b42d88,26,Belgium,8298,5H6JYB,Aarschot,آرسشوت
2d861397-2aee-4874-8d37-d6a35b7c07c3,195,Nigeria,215,RUAY1L,Aba,أبا
#N/A,21,Bahamas,7102,C8N1S0,Abaco Islands,جزر أباكو
59e02e21-5cf7-4c0a-9107-5c097964d986,118,Iran,5208,HFW2BC,Abadeh,آباده
0753af39-687d-4e5d-ae2b-0248f46c7c3f,195,Nigeria,214,24Q131,Abakaliki,اباكاليكى
f443b8b1-5b6b-4c0f-bc32-6f23de95a6f3,232,Russia,996,VYX8LC,Abakan,أباكان
d84fdbb2-1db8-4539-9d1b-d7e54445aba8,219,Peru,346,QDNG6E,Abancay,ابانكاي
#N/A,89,Gabon,7242,FAJTN3,Abanga-Bigne,ابانغا- بيجني 
7fb88c2e-7001-4178-b3f6-44bd93acf121,126,Japan,9317,6F00BD,Abashiri,أباشيري
483ad9b7-a525-4b46-a7fe-865065573745,126,Japan,9444,GO34BZ,Abashiri,أباشيري
494f016a-692a-46e0-a18f-e7a55150f2dd,164,Mexico,6048,HQOTCL,Abasolo,أباسولو
6a969a23-9f1c-45e5-b3bd-2cdbfa81777d,270,State of Western Australia,10784,1DNOZ9,Abbey,أبي 
5794f109-3683-4ce3-8e95-648be3414a04,120,Ireland,9214,RJE8PU,Abbeyleix,ابیلیکس
5d945fdc-b9d2-4fbf-aa6e-ee1e8b89ba8e,36,British Columbia,4545,C81U1R,Abbotsford,ابوتسفورد
ebb3c89d-425a-4b2c-8ad7-f062c6a17364,310,Wisconsin,10673,HBIB1L,Abbotsford,ابوتسفورد
fa48676b-abdf-4316-a142-f79f750fc1b3,212,Pakistan,484,7MULJP,Abbottabad,أبوت آباد 
3b19d910-03b1-48a3-a792-d790172bc086,118,Iran,5207,KK44CW,Abdanan,آبدانان
94fa4a3e-46c4-410e-b962-5b4682bf1de2,48,Chad,2297,2ZE0NV,Abeche,أبشي
204aa448-d830-43c4-92d3-b8071deeae2b,124,Ivory Coast,1713,C5DG47,Abengourou,أبنغورو
de463f10-0e42-4361-8dc5-d18a6a9a7f66,195,Nigeria,213,NXLY2C,Abeokuta,أبيوكوتا
bac0cec9-5611-4bca-8cf0-60f1e5dc72eb,305,Wales,10629,V1NPQ3,Aberaeron,ابيريرون
cc72f89d-d440-449c-9f79-6060fc2208e8,305,Wales,10631,VZLPUQ,Aberdare,أبردير 
9856e09e-0ccb-4b95-ad7c-a1c9f6af3696,246,Scotland,4613,WMHXIE,Aberdeen,أبردين
19214557-9784-4fc3-a6c6-d497a5765afc,259,South Dakota,6430,C1P3RX,Aberdeen,أبردين
224ed0f3-895e-4a74-b07b-53a4f83f9404,198,North Carolina,10091,FQRSGZ,Aberdeen,أبردين
421b3e47-a636-4f85-9972-2ca334e8b48b,307,Washington,10640,G04F0G,Aberdeen,أبردين
f6ec2571-0d0e-44ca-aab5-791ef0eb3293,265,State of New South Wales,10785,LL403S,Aberdeen,أبردين
c33a2c95-9cb4-4d30-8c8b-fe4b708a29c9,305,Wales,10617,3OXACB,Abergavenny,أبرغفني
fa1c9fe8-a928-4efa-8380-fd82ef611a7e,305,Wales,10625,RRAOS7,Aberystwyth,أبيريستويث
38708a8a-8203-4a52-b996-e65662f55a17,245,Saudi Arabia,1029,WCWL1D,Abha,أَبْـهَـا‎
4786f794-60a5-4b27-862e-a7e8e51404f5,118,Iran,5206,0X7F77,Abhar,أبهر 
50655bbf-1914-41d7-a3c2-79e96ed8c8a8,124,Ivory Coast,1712,SFL4TF,Abidjan,أبيدجان
79d6a3b0-7b5b-4e15-b7a6-99dd02369ae0,126,Japan,9284,3SP3RT,Abiko,أبيكو
7a0483bd-d252-4e5c-9e48-8ec86e6283ec,282,Texas,4954,W7ZM39,Abilene,أبيلين
ace677b5-06d7-482d-8778-1983d72dbea0,232,Russia,980,IKCOKD,Abinsk,أبينسك
ad90351c-a022-46e3-a862-64e14f1ea9b3,124,Ivory Coast,1711,EX5B28,Aboisso,أبويسو
e2a7a31e-231a-4edd-aa91-9592bbef9f36,28,Benin,1406,0SK1G8,Abomey,أبومي
cfac88b3-c824-4cd2-aaa0-8240a73aa981,85,France,8775,RX79YN,Abreschviller,آبريشفيليه
4b14feff-3416-40a5-ab91-dcc1375330be,19,Austria,8275,HSMI0T,Abtenau,أبتيناو
a5b8f6d9-a6dc-41b4-b184-504fad26b26a,295,United Arab Emirates,9,VT09E6,Abu Dhabi,ابو ظبي
ad038f53-4c93-453b-9180-7383cffbf81c,119,Iraq,4080,FPSXXB,Abu Ghurayb,ابو غريب
ea5da54a-7faf-4ac6-9367-3c5147c8f71e,195,Nigeria,212,CQHSIR,Abuja,أبوجا
4f5f9fe7-26ff-46f9-950b-a0e8d0586675,164,Mexico,5965,BK9500,Acajete,أكاهيتي
e8eb166c-ae8c-4f9c-9fd5-abf94c722ea3,164,Mexico,9820,8XLO72,Acambaro,أكامبارو
88c93f56-3c05-48c0-8313-6361402dde08,164,Mexico,6047,516JE2,Acaponeta,أكابونيتا
#N/A,164,Mexico,6925,8BBMO5,Acapulco,أكابولكو 
de4da044-11b5-4c3c-9c17-5d1caa00982c,301,Venezuela,4330,7GRXKM,Acarigua,أكاريغوا
e22968e9-bb85-475f-a9ae-4a80e65a0554,164,Mexico,5964,EKEFQK,Acatzingo,اكاتزينغو
227e7c65-b81c-4b0e-9157-ee90f6133b1c,164,Mexico,5963,UE2D8U,Acayucan,أكايوكان
